"DATAH","SECONDS","NANOSECONDS","NDX","DIAG","REMARK","DATE","TIME","H2O","CO2","CH4","CAVITY_P","CAVITY_T","LASER_PHASE_P","LASER_T","RESIDUAL","RING_DOWN_TIME","THERMAL_ENCLOSURE_T","PHASE_ERROR","LASER_T_SHIFT","INPUT_VOLTAGE","CHK","DATETIME","time_CST","REMARK_ID","time_elapsed","RATE_CO2","RATE_CH4","Site","Treatment","RATE_CO2_molmol","RATE_CH4_molmol","CO2_flux.mol.s","CH4_flux.mol.s","CO2_flux.mol.m2.s","CH4_flux.mol.m2.s","CO2_flux.umol.m2.s","CH4_flux.umol.m2.s","Q1","Q3","IQR","is_outlier_ch4","is_outlier_co2"
"DATA",1736672925,686963081,1623,0,"S4CONVEF1","2025-01-12","09:08:45",23289.549,405.24039,1968.5081,39.1479,55.0018,27.771,37.6598,0.00405679,12.1215,54.5013,-86.75,-0.51232,15.4675,225,2025-01-12 09:08:45,2025-01-12 09:08:45,"1",0,NA,NA,"S4","Control",NA,NA,NA,NA,NA,NA,NA,NA,5.00628677386708,7.49631661264793,2.49002983878085,NA,NA
"DATA",1736672926,686963081,1627,0,"S4CONVEF1","2025-01-12","09:08:46",23298.287,405.09726,1968.7482,39.1479,55.0018,27.7672,37.6594,0.00405261,12.1217,54.5011,-89.75,-0.51232,15.4671,24,2025-01-12 09:08:46,2025-01-12 09:08:46,"1",0.0166666666666667,-0.143129999999985,0.240099999999984,"S4","Control",-1.43129999999985e-07,2.40099999999984e-10,-2.65553034313634e-09,4.45464148247789e-12,-3.74639151091399e-07,6.28455670907904e-10,-0.374639151091399,0.000628455670907904,5.00628677386708,7.49631661264793,2.49002983878085,FALSE,TRUE
"DATA",1736672927,686963081,1631,0,"S4CONVEF1","2025-01-12","09:08:47",23306.277,405.18372,1969.3195,39.1475,55.0018,27.7644,37.6594,0.00405315,12.1206,54.5007,-88.5,-0.51232,15.4671,203,2025-01-12 09:08:47,2025-01-12 09:08:47,"1",0.0333333333333333,0.0864599999999882,0.571300000000065,"S4","Control",8.64599999999882e-08,5.71300000000065e-10,1.60411621230742e-09,1.05994863762602e-11,2.26306860919174e-07,1.4953632852551e-09,0.226306860919174,0.0014953632852551,5.00628677386708,7.49631661264793,2.49002983878085,TRUE,FALSE
"DATA",1736672928,686963081,1635,0,"S4CONVEF1","2025-01-12","09:08:48",23316.904,405.2565,1969.7471,39.1467,55.0018,27.7631,37.6594,0.00405643,12.1207,54.5005,-117,-0.51232,15.4667,104,2025-01-12 09:08:48,2025-01-12 09:08:48,"1",0.05,0.0727800000000229,0.427599999999984,"S4","Control",7.27800000000229e-08,4.27599999999984e-10,1.35030740147799e-09,7.93338066600416e-12,1.90499807283193e-07,1.11923217359528e-09,0.190499807283193,0.00111923217359528,5.00628677386708,7.49631661264793,2.49002983878085,FALSE,FALSE
"DATA",1736672929,686963081,1639,0,"S4CONVEF1","2025-01-12","09:08:49",23329.662,406.09192,1970.1381,39.1475,55.0018,27.7611,37.6596,0.00403642,12.1204,54.5005,-25.5,-0.51232,15.4648,194,2025-01-12 09:08:49,2025-01-12 09:08:49,"1",0.0666666666666667,0.835419999999999,0.390999999999849,"S4","Control",8.35419999999999e-07,3.90999999999849e-10,1.54997775397414e-08,7.25433077737733e-12,2.18669069800048e-06,1.02343260027035e-09,2.18669069800048,0.00102343260027035,5.00628677386708,7.49631661264793,2.49002983878085,FALSE,FALSE
"DATA",1736672930,686963081,1643,0,"S4CONVEF1","2025-01-12","09:08:50",23337.65,407.48233,1970.6542,39.1479,55.0018,27.7598,37.6594,0.00403474,12.1197,54.5005,-38.5,-0.51232,15.4656,158,2025-01-12 09:08:50,2025-01-12 09:08:50,"1",0.0833333333333333,1.39040999999997,0.516100000000051,"S4","Control",1.39040999999997e-06,5.16100000000051e-10,2.57966599902223e-08,9.57534556062981e-12,3.63936297120825e-06,1.3508786828639e-09,3.63936297120825,0.0013508786828639,5.00628677386708,7.49631661264793,2.49002983878085,TRUE,FALSE
"DATA",1736672931,686963081,1647,0,"S4CONVEF1","2025-01-12","09:08:51",23348.928,408.14661,1971.3716,39.1467,55.0018,27.7565,37.6598,0.00403685,12.1201,54.5005,-56,-0.51232,15.4656,108,2025-01-12 09:08:51,2025-01-12 09:08:51,"1",0.1,0.664280000000019,0.717399999999998,"S4","Control",6.64280000000019e-07,7.17399999999998e-10,1.23245699457755e-08,1.33101199480626e-11,1.7387360810943e-06,1.87777633614893e-09,1.7387360810943,0.00187777633614893,5.00628677386708,7.49631661264793,2.49002983878085,TRUE,FALSE
"DATA",1736672932,686656951,1651,0,"S4CONVEF1","2025-01-12","09:08:52",23358.633,408.99097,1972.6475,39.1467,55.0018,27.7561,37.6598,0.0040575,12.1194,54.5005,-64.25,-0.51232,15.4656,228,2025-01-12 09:08:52,2025-01-12 09:08:52,"1",0.116666666666667,0.844359999999995,1.27590000000009,"S4","Control",8.44359999999995e-07,1.27590000000009e-09,1.56656438240119e-08,2.36721243960613e-11,2.2100909216486e-06,3.33963594548732e-09,2.2100909216486,0.00333963594548732,5.00628677386708,7.49631661264793,2.49002983878085,TRUE,FALSE
"DATA",1736672933,686656951,1655,0,"S4CONVEF1","2025-01-12","09:08:53",23370.715,410.11038,1973.7693,39.1471,55.0014,27.7545,37.6598,0.00405832,12.1188,54.5005,-72.5,-0.51232,15.4656,199,2025-01-12 09:08:53,2025-01-12 09:08:53,"1",0.133333333333333,1.11941000000002,1.12179999999989,"S4","Control",1.11941000000002e-06,1.12179999999989e-09,2.07687222902998e-08,2.08130646190902e-11,2.93002733265753e-06,2.9362830971448e-09,2.93002733265753,0.0029362830971448,5.00628677386708,7.49631661264793,2.49002983878085,TRUE,FALSE
"DATA",1736672934,686656951,1659,0,"S4CONVEF1","2025-01-12","09:08:54",23380.107,410.939,1974.7615,39.1458,55.0012,27.7512,37.6596,0.00407075,12.119,54.5005,-64.5,-0.51232,15.4644,47,2025-01-12 09:08:54,2025-01-12 09:08:54,"1",0.15,0.828620000000001,0.992200000000139,"S4","Control",8.28620000000001e-07,9.92200000000139e-10,1.53736152653522e-08,1.84085600954414e-11,2.16889187016969e-06,2.59705837848793e-09,2.16889187016969,0.00259705837848793,5.00628677386708,7.49631661264793,2.49002983878085,TRUE,FALSE
"DATA",1736672935,686656951,1663,0,"S4CONVEF1","2025-01-12","09:08:55",23393.348,412.09412,1975.408,39.145,55.001,27.7475,37.6594,0.00408511,12.1189,54.5005,-67.75,-0.51232,15.4644,104,2025-01-12 09:08:55,2025-01-12 09:08:55,"1",0.166666666666667,1.15511999999995,0.646499999999833,"S4","Control",1.15511999999995e-06,6.46499999999833e-10,2.14312597635985e-08,1.19946927047955e-11,3.02349735351586e-06,1.69219738126565e-09,3.02349735351586,0.00169219738126565,5.00628677386708,7.49631661264793,2.49002983878085,TRUE,FALSE
"DATA",1736672936,686656951,1667,0,"S4CONVEF1","2025-01-12","09:08:56",23404.988,414.10507,1976.059,39.1458,55.001,27.7462,37.6594,0.00407909,12.1187,54.5005,-29,-0.51232,15.4644,19,2025-01-12 09:08:56,2025-01-12 09:08:56,"1",0.183333333333333,2.01095000000004,0.651000000000067,"S4","Control",2.01095000000004e-06,6.51000000000067e-10,3.73097096592656e-08,1.20781824452045e-11,5.26361070975575e-06,1.70397601733076e-09,5.26361070975575,0.00170397601733076,5.00628677386708,7.49631661264793,2.49002983878085,TRUE,FALSE
"DATA",1736672937,686656951,1671,0,"S4CONVEF1","2025-01-12","09:08:57",23416.385,416.07657,1976.4041,39.1462,55.001,27.7467,37.6596,0.00407351,12.1189,54.5005,-43.25,-0.51232,15.464,155,2025-01-12 09:08:57,2025-01-12 09:08:57,"1",0.2,1.97149999999999,0.345100000000002,"S4","Control",1.97149999999999e-06,3.45100000000002e-10,3.65777829350508e-08,6.40273542525294e-12,5.16035133359021e-06,9.03290512412884e-10,5.16035133359021,0.000903290512412884,5.00628677386708,7.49631661264793,2.49002983878085,FALSE,FALSE
